"ID","Title","Description","Epic","Type","Status","Priority","Owner","Effort","Depends on","Source"
"MAR-1","Define and apply the two CMA Agents","mariella-consultant and mariella-client created as versioned Agent configs in the T&G Anthropic org; engine mounted per session rather than pasted as a system prompt.","Platform & orchestrator","Build","Done","P1","Brig","M","","tg-context/projects/mariella/mariella-hosting-build.md"
"MAR-2","Orchestrator session driver","orchestrator/run-session.mjs mounts engine + tenant files, drives one session per tenant (answers ask_user_input and free-text prompts), harvests /mnt/session/outputs into a pluggable store.","Platform & orchestrator","Build","Done","P1","Brig","M","MAR-1","marketingskills/docs/build-plan.md Phase 2"
"MAR-3","S3 per-tenant durable store","One T&G-owned bucket, per-tenant prefix tenant/<id>/project/, versioning on, all public access blocked; S3Store behind the same interface as localStore, selected by MARIELLA_STORE.","Platform & orchestrator","Build","Done","P1","Brig","M","MAR-2","tg-context/projects/mariella/mariella-hosting-build.md"
"MAR-4","Folder-preserving harvest (W67)","CMA file transfer carries a filename and never a folder, so the folder is encoded into the filename (every / becomes ~) and decoded on harvest. Verified both directions including a 2-deep path.","Platform & orchestrator","Build","Done","P1","Brig","M","MAR-3","tg-context/projects/mariella/plans/2026-07-27-mariella-harvest-folder-preservation-w67.md"
"MAR-5","Correct the sandbox mount paths","CMA honours mount_path but re-roots it under /mnt/session/uploads; bootstraps now name the real effective paths so the agent stops hunting for the engine on every run.","Platform & orchestrator","Build","Done","P1","Brig","S","MAR-4","tg-context/projects/mariella/plans/2026-07-27-mariella-harvest-folder-preservation-w67.md"
"MAR-6","Publish the agent updates (v8/v9) and re-sync the lock","Batch the bootstrap + model changes into a single in-place update per agent; re-sync deploy/agents.lock.json to the returned version. Never recreate an agent.","Platform & orchestrator","Build","Not started","P2","Brig","S","MAR-5","tg-context/projects/mariella/plans/2026-07-27-mariella-harvest-folder-preservation-w67.md"
"MAR-7","Close the consultant-to-client handover","Transport is proven; the handoff is not. The client engine gates its reference read on 01-client-knowledge/marketing-strategy-confirmed.md, which only exists after a consultant pass completes the audit and confirm-strategy stages. Needs one full consultant run.","Platform & orchestrator","Verification","In progress","P1","Brig","M","MAR-4","tg-context/projects/mariella/mariella-hosting-build.md"
"MAR-8","Per-tenant concurrency lock","run-session.mjs has no lock, against the architecture's one-session-per-tenant contract. Latent on one laptop, real the moment two people share a host.","Platform & orchestrator","Build","Not started","P2","Unassigned","S","","tg-context/projects/mariella/plans/2026-07-27-mariella-harvest-folder-preservation-w67.md"
"MAR-9","Deploy the orchestrator to an always-on host","Provision the EC2 host with an SSM + scoped-S3 IAM role, service user, Node 20, ant CLI, read-only deploy key; today the orchestrator runs from a laptop.","Platform & orchestrator","Build","Not started","P1","Alex","M","","tg-context/projects/mariella/plans/2026-07-27-mariella-orchestrator-server-deploy.md"
"MAR-10","Choose the server auth model for ant","The real decision in the deploy plan: how the service user authenticates to Anthropic on an unattended box, and what the credential renewal story is.","Platform & orchestrator","Decision","Not started","P1","Alex","S","MAR-9","tg-context/projects/mariella/plans/2026-07-27-mariella-orchestrator-server-deploy.md"
"MAR-11","First real run and operating procedure on the server","Smoke-test a throwaway tenant on the local store, then a real S3 run against the proven tenant, confirm write-back, and write down the two operating limitations.","Platform & orchestrator","Verification","Not started","P1","Alex","S","MAR-9","tg-context/projects/mariella/plans/2026-07-27-mariella-orchestrator-server-deploy.md"
"MAR-12","Extract session-core from the CLI","Pull the create/stream/answer/harvest loop into orchestrator/lib/session-core.mjs with injected getInput/onEvent so the CLI and the web server share one path. CLI behaviour must be byte-identical.","Platform & orchestrator","Build","Not started","P1","Alex","M","","tg-context/projects/mariella/plans/2026-07-29-mariella-client-web-front.md"
"MAR-13","Archive sessions after successful harvest","Closes the sessions-accumulate operating limitation. Archive sessions only; never agents or environments.","Platform & orchestrator","Build","Not started","P3","Unassigned","S","MAR-12","tg-context/projects/mariella/plans/2026-07-29-mariella-client-web-front.md"
"MAR-14","Tenant registry","Which agent version, which vaults, which durable-store prefix per tenant.","Platform & orchestrator","Build","Not started","P2","Unassigned","S","","marketingskills/docs/build-plan.md Phase 2"
"MAR-15","Prove tenant isolation with a test","Isolation is largely Anthropic-enforced; verify with a real test rather than assuming. One tenant's session must not see another's files or vault.","Platform & orchestrator","Verification","Not started","P1","Unassigned","S","MAR-14","marketingskills/docs/build-plan.md Phase 2"
"MAR-16","Per-tenant Vaults for client credentials","Client credential substituted into outbound calls at egress and never entering the agent. Designed, not built.","Secrets & integrations","Build","Not started","P1","Unassigned","M","","tg-context/projects/mariella/mariella-hosting-build.md"
"MAR-17","Wire GA4, Search Console and LinkedIn as MCP servers","Until integrations are wired, audits run on public-web inference only — half information. Every credentialed integration goes through MCP/Vaults so no token reaches a prompt or tool argument.","Secrets & integrations","Build","Not started","P1","Unassigned","L","MAR-16","tg-context/projects/mariella/mariella-hosting-build.md"
"MAR-18","Decide per-integration credential wiring","MCP-wrapped OAuth (Anthropic auto-refreshes; best for LinkedIn/Google) versus an environment-variable credential substituted at egress (simplest for static keys). Validate per integration.","Secrets & integrations","Decision","Open","P1","Unassigned","S","","marketingskills/docs/mariella-handover.md 14"
"MAR-19","Verify OAuth auto-refresh","Confirm Vault refresh works so the in-prompt LinkedIn token-expiry check can be retired.","Secrets & integrations","Verification","Not started","P2","Unassigned","S","MAR-17","marketingskills/docs/build-plan.md Phase 3"
"MAR-20","Click-to-connect onboarding flow","OAuth connect for LinkedIn/Google, paste-key for the rest, written straight into the tenant's Vault. Guided connection is step one of onboarding.","Secrets & integrations","Build","Not started","P1","Unassigned","M","MAR-17","marketingskills/docs/build-plan.md Phase 3"
"MAR-21","Enforce the onboarding integration gate","Setup does not run until GA4 + Search Console + LinkedIn are connected and live in the tenant Vault. A degraded run is flagged and held, never shipped clean.","Secrets & integrations","Build","Not started","P1","Unassigned","M","MAR-20","tg-context/projects/mariella/mariella-hosting-build.md"
"MAR-22","Confirm no secret reaches T&G-side storage","Prove nothing sensitive lands in a T&G database, log or the durable store.","Secrets & integrations","Verification","Not started","P1","Unassigned","S","MAR-20","marketingskills/docs/build-plan.md Phase 3"
"MAR-23","Probe the three CMA unknowns before promising UI","Gate on the web front: whether mid-session file input is accepted, whether a session can be re-attached after the stream closes mid-ask_user_input, and whether files.list can be polled mid-session.","Client interface","Verification","Not started","P1","Alex","S","","tg-context/projects/mariella/plans/2026-07-29-mariella-client-web-front.md"
"MAR-24","Extract the brand tokens for app surfaces","brand/tokens.css (colours, type scale, radii, shadows) de-bundled from the landing page; workspace chrome ported from the audit-report template family, not the bundler blob.","Client interface","Build","Not started","P3","Alex","S","","tg-context/projects/mariella/plans/2026-07-29-mariella-client-web-front.md"
"MAR-25","Web server with per-tenant auth","Cloudflare Access JWT verified against the team's public keys, email mapped to tenants and role, 403 for anything unmapped. Server binds localhost only; the tunnel is the sole ingress.","Client interface","Build","Not started","P1","Alex","M","MAR-12","tg-context/projects/mariella/plans/2026-07-29-mariella-client-web-front.md"
"MAR-26","Session, upload and outputs endpoints","start/stream/answer/done with a lock check and an idle timeout that auto-harvests; upload endpoint with size cap, type allowlist and sanitised ~-encoded filenames; outputs served from a sandboxed viewer hostname with CSP sandbox and nosniff.","Client interface","Build","Not started","P1","Alex","L","MAR-25","tg-context/projects/mariella/plans/2026-07-29-mariella-client-web-front.md"
"MAR-27","Per-tenant human access log","Append-only tenant/<id>/access-log.jsonl covering login-seen, session start/end, uploads and file views — the connection-ledger precedent applied to people.","Client interface","Build","Not started","P2","Alex","S","MAR-25","tg-context/projects/mariella/plans/2026-07-29-mariella-client-web-front.md"
"MAR-28","Dashboard-first client UI","Login lands on the outputs view (latest audit, monthly report, outcome join table), newest first, with a real empty state. Session panel renders ask_user_input options as buttons, upload control describes its actual behaviour honestly, mobile-usable.","Client interface","Build","Not started","P1","Alex","L","MAR-26","tg-context/projects/mariella/plans/2026-07-29-mariella-client-web-front.md"
"MAR-29","Operator-only surfaces","Role-gated layer picker (consultant/client), tenant switcher across granted tenants, raw session trace. Clients see none of it.","Client interface","Build","Not started","P3","Alex","S","MAR-28","tg-context/projects/mariella/plans/2026-07-29-mariella-client-web-front.md"
"MAR-30","Cloudflare tunnel, hostnames and Access policies","cloudflared as a systemd service (outbound only), two hostnames (app + sandboxed file viewer), one Access application each with a per-tenant email allowlist and block-by-default. Needs the domain and Cloudflare account admin.","Client interface","Build","Blocked","P1","Alex","M","MAR-25","tg-context/projects/mariella/plans/2026-07-29-mariella-client-web-front.md"
"MAR-31","Two-tenant silo verification","Two throwaway tenants, two browsers, two emails: A cannot list, fetch, see or start a session as B, including direct URL attempts. Same-tenant second tab refused by the lock. Planted script tag confirms the viewer sandbox holds.","Client interface","Verification","Not started","P1","Alex","S","MAR-28","tg-context/projects/mariella/plans/2026-07-29-mariella-client-web-front.md"
